datetime,zone1,zone2,zone3,zone4
2020-12-18 17:04:07,0,2,0,3
2020-12-18 17:05:38,0,0,0,2
2020-12-18 17:07:50,0,0,0,8
2020-12-18 17:09:25,0,0,0,3
2020-12-18 17:10:56,0,0,0,2
2020-12-18 17:12:30,0,0,0,3
2020-12-18 17:14:04,0,0,2,4
2020-12-18 17:18:38,0,0,0,2
2020-12-18 17:20:13,0,0,0,3
2020-12-18 17:21:50,0,2,0,9
2020-12-18 17:23:26,0,0,0,10
2020-12-18 17:25:07,0,2,0,11
2020-12-18 17:28:18,0,5,0,12
2020-12-18 17:29:54,2,4,0,8
2020-12-18 17:31:29,0,7,0,7
2020-12-18 17:33:03,0,5,0,8
2020-12-18 17:34:39,0,7,0,7
2020-12-18 17:36:12,0,7,0,10
2020-12-18 17:37:47,0,8,0,8
2020-12-18 17:39:23,0,4,0,8
2020-12-18 17:40:58,2,2,0,12
2020-12-18 17:42:32,2,0,0,11
2020-12-18 17:44:03,2,0,0,10
2020-12-18 17:45:35,0,2,0,5
2020-12-18 17:47:10,2,2,0,7
2020-12-18 17:48:43,0,2,3,8
2020-12-18 17:50:14,0,2,0,5
2020-12-18 17:51:48,0,3,0,6
2020-12-18 17:53:17,0,3,2,8
2020-12-18 17:55:00,0,5,0,6
2020-12-18 17:56:32,0,4,0,5
2020-12-18 17:58:08,0,4,0,4
2020-12-18 17:59:40,0,5,0,4
2020-12-18 18:01:10,2,6,0,4
2020-12-18 18:02:42,0,3,0,7
2020-12-18 18:04:12,0,3,0,2
2020-12-18 18:05:42,2,5,2,2
2020-12-18 18:08:31,0,2,0,5
2020-12-18 18:10:05,0,2,0,2
2020-12-18 18:11:35,0,0,0,4
2020-12-18 18:13:05,0,0,0,5
2020-12-18 18:14:34,0,0,0,2
2020-12-18 18:16:03,0,0,0,7
2020-12-18 18:17:33,0,0,0,6
2020-12-18 18:19:01,0,0,0,5
2020-12-18 18:20:29,0,2,0,6
2020-12-18 18:21:56,0,2,0,7
2020-12-18 18:23:25,0,2,0,2
2020-12-18 18:25:00,0,2,0,6
2020-12-18 18:26:29,0,2,0,12
2020-12-18 18:27:59,0,0,0,6
2020-12-18 18:29:30,0,0,0,3
2020-12-18 18:31:10,0,0,0,6
2020-12-18 18:32:43,0,0,0,6
2020-12-18 18:34:12,0,0,0,5
2020-12-18 18:35:40,2,0,0,4
2020-12-18 18:37:10,0,0,0,4
2020-12-18 18:38:39,0,0,0,4
2020-12-28 09:19:09,3,2,0,4
2020-12-28 09:21:00,6,2,0,2
2020-12-28 09:22:38,5,0,0,0
2020-12-28 09:24:12,4,2,2,2
2020-12-28 09:25:50,3,0,0,4
2020-12-28 09:27:24,4,0,0,2
2020-12-28 09:29:00,4,0,0,2
2020-12-28 09:30:30,3,0,0,2
2020-12-28 09:32:04,2,0,0,2
2020-12-28 09:33:42,4,0,0,2
2020-12-28 09:35:18,0,0,2,0
2020-12-28 09:36:51,2,2,0,4
2020-12-28 09:38:26,2,2,0,2
2020-12-28 09:39:59,2,2,0,2
2020-12-28 09:41:39,3,0,0,6
2020-12-28 09:43:23,4,0,0,4
2020-12-28 09:44:58,5,0,0,5
2020-12-28 09:46:28,2,0,0,7
2020-12-28 09:47:58,2,2,0,7
2020-12-28 09:49:30,2,2,0,5
2020-12-28 09:51:01,2,0,0,2
2020-12-28 09:52:30,2,0,0,7
2020-12-28 09:53:59,0,0,0,3
2020-12-28 09:55:30,2,0,0,6
2020-12-28 09:57:02,2,0,0,8
2020-12-28 09:58:47,2,0,0,4
